id,title,release_date,release_year,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,genres,genre_count,in_collection,adult,status
391714,On Chesil Beach,2018-01-19,2018,745971,3335913,110,1.8703,6.136,385,en,"Drama, Romance",2,False,False,Released
391779,Housefull 3,2016-06-03,2016,13000000,23000000,140,1.0187,5.127,110,hi,"Comedy, Romance",2,True,False,Released
391955,Maalik,2016-04-08,2016,280000,520000,155,0.3323,6.7,12,ur,"Action, Drama, Crime, Thriller",4,False,False,Released
391995,Hillary's America: The Secret History of the Democratic Party,2016-07-15,2016,5000000,13099931,107,0.5463,5.3,86,en,Documentary,1,False,False,Released
392044,Murder on the Orient Express,2017-11-03,2017,55000000,352800000,114,9.0256,6.707,10489,en,"Mystery, Drama, Crime",3,True,False,Released
392142,Max & Leon,2016-11-01,2016,12156348,8750678,98,1.2294,6.299,832,fr,"Comedy, War, Adventure",3,False,False,Released
392344,Baar Baar Dekho,2016-09-09,2016,7400000,9100000,141,1.0659,5.779,61,hi,"Romance, Drama, Action",3,False,False,Released
392572,Rustom,2016-08-12,2016,6114349,26309214,148,1.1111,6.7,137,hi,"Thriller, Drama, Crime",3,False,False,Released
392794,The Dancer,2016-09-28,2016,8000000,2000000,108,1.4642,6.5,204,fr,"Drama, History",2,False,False,Released
392982,Marshall,2017-10-13,2017,12000000,10051659,118,3.4052,7.25,671,en,Drama,1,False,False,Released
393345,Cult of Chucky,2017-10-12,2017,6500000,2332018,91,4.2907,5.834,1400,en,"Horror, Thriller",2,True,False,Released
393421,Sarbjit,2016-05-20,2016,3400000,6463160,131,0.6894,7.614,35,hi,Drama,1,False,False,Released
393457,Fences,2016-12-16,2016,24000000,64400000,139,4.0983,6.881,2796,en,Drama,1,False,False,Released
393519,Raw,2017-03-10,2017,3500000,4100000,98,2.7163,7.022,3385,fr,"Horror, Drama",2,False,False,Released
393559,My Life as a Zucchini,2016-09-22,2016,8000000,5873256,66,1.6602,7.8,1496,fr,"Animation, Comedy, Drama",3,False,False,Released
393562,Raman Raghav 2.0,2016-06-24,2016,521873,1013926,134,1.539,7.0,132,hi,"Thriller, Crime",2,False,False,Released
393821,Dab6e: The Return,2015-09-11,2015,700000,3853240,153,0.9388,6.3,79,tr,"Horror, Thriller, Fantasy",3,True,False,Released
393841,Pelli Choopulu,2016-07-29,2016,200000,5500000,124,0.5985,7.225,40,te,"Romance, Comedy",2,False,False,Released
394117,The Florida Project,2017-10-06,2017,2000000,11303040,112,4.6448,7.43,3072,en,Drama,1,False,False,Released
394287,Sound and Fury,2016-02-11,2016,10000,10000,100,0.3186,5.8,17,fa,Drama,1,False,False,Released
394684,May God Save Us,2016-10-28,2016,4000000,1598584,127,1.4451,6.756,497,es,"Thriller, Crime, Drama",3,False,False,Released
394741,Stan & Ollie,2018-12-28,2018,10000000,24420923,98,2.8918,6.946,1128,en,"Comedy, Drama",2,False,False,Released
395452,In the Forests of Siberia,2016-06-15,2016,3500000,1492523,105,0.558,6.8,117,fr,"Adventure, Drama",2,False,False,Released
